Split,Arm,Method,BudgetK,MetricName,Numerator,Denominator,ExactFractionOrFormula,DecimalValue,ReportedPercentageOrScore
held_out,B1,R0,8,Mean Prompt Tokens,20098,12,20098/12,1674.8333333333333,1674.8
held_out,B1,R1,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R1,3,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B1,R1,3,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B1,R1,3,Final Accepted Target Recall,10.875,12,10.8750/12,0.90625,90.6%
held_out,B1,R1,3,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R1,3,Mean Candidate Tokens,5251,12,5251/12,437.5833333333333,437.6
held_out,B1,R1,3,Mean Prompt Tokens,10069,12,10069/12,839.0833333333334,839.1
held_out,B1,R1,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R1,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B1,R1,5,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B1,R1,5,Final Accepted Target Recall,11.625,12,31/32 (11*1.0 + 5/8)/12,0.96875,96.9%
held_out,B1,R1,5,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R1,5,Mean Candidate Tokens,8764,12,8764/12,730.3333333333334,730.3
held_out,B1,R1,5,Mean Prompt Tokens,14396,12,14396/12,1199.6666666666667,1199.7
held_out,B1,R1,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R1,8,HN Presence Rate,11,12,11/12,0.9166666666666666,91.7%
held_out,B1,R1,8,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B1,R1,8,Final Accepted Target Recall,11.625,12,11.6250/12,0.96875,96.9%
held_out,B1,R1,8,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R1,8,Mean Candidate Tokens,13143,12,13143/12,1095.25,1095.2
held_out,B1,R1,8,Mean Prompt Tokens,20148,12,20148/12,1679.0,1679.0
held_out,B1,R2,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R2,3,HN Presence Rate,8,12,8/12,0.6666666666666666,66.7%
held_out,B1,R2,3,Mean First Target Rank,13,12,13/12,1.0833333333333333,1.08
held_out,B1,R2,3,Final Accepted Target Recall,11.375,12,11.3750/12,0.9479166666666666,94.8%
held_out,B1,R2,3,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R2,3,Mean Candidate Tokens,5221,12,5221/12,435.0833333333333,435.1
held_out,B1,R2,3,Mean Prompt Tokens,10061,12,10061/12,838.4166666666666,838.4
held_out,B1,R2,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R2,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B1,R2,5,Mean First Target Rank,13,12,13/12,1.0833333333333333,1.08
held_out,B1,R2,5,Final Accepted Target Recall,11.625,12,31/32 (11*1.0 + 5/8)/12,0.96875,96.9%
held_out,B1,R2,5,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R2,5,Mean Candidate Tokens,8722,12,8722/12,726.8333333333334,726.8
held_out,B1,R2,5,Mean Prompt Tokens,14384,12,14384/12,1198.6666666666667,1198.7
held_out,B1,R2,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R2,8,HN Presence Rate,10,12,10/12,0.8333333333333334,83.3%
held_out,B1,R2,8,Mean First Target Rank,13,12,13/12,1.0833333333333333,1.08
held_out,B1,R2,8,Final Accepted Target Recall,11.625,12,11.6250/12,0.96875,96.9%
held_out,B1,R2,8,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R2,8,Mean Candidate Tokens,13081,12,13081/12,1090.0833333333333,1090.1
held_out,B1,R2,8,Mean Prompt Tokens,20131,12,20131/12,1677.5833333333333,1677.6
held_out,B1,R3,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R3,3,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B1,R3,3,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B1,R3,3,Final Accepted Target Recall,10.875,12,10.8750/12,0.90625,90.6%
held_out,B1,R3,3,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R3,3,Mean Candidate Tokens,5251,12,5251/12,437.5833333333333,437.6
held_out,B1,R3,3,Mean Prompt Tokens,10069,12,10069/12,839.0833333333334,839.1
held_out,B1,R3,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R3,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B1,R3,5,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B1,R3,5,Final Accepted Target Recall,11.625,12,31/32 (11*1.0 + 5/8)/12,0.96875,96.9%
held_out,B1,R3,5,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R3,5,Mean Candidate Tokens,8764,12,8764/12,730.3333333333334,730.3
held_out,B1,R3,5,Mean Prompt Tokens,14396,12,14396/12,1199.6666666666667,1199.7
held_out,B1,R3,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B1,R3,8,HN Presence Rate,11,12,11/12,0.9166666666666666,91.7%
held_out,B1,R3,8,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B1,R3,8,Final Accepted Target Recall,11.625,12,11.6250/12,0.96875,96.9%
held_out,B1,R3,8,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B1,R3,8,Mean Candidate Tokens,13143,12,13143/12,1095.25,1095.2
held_out,B1,R3,8,Mean Prompt Tokens,20148,12,20148/12,1679.0,1679.0
held_out,B2,R0,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B2,R0,3,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B2,R0,3,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B2,R0,3,Final Accepted Target Recall,9.875,12,9.8750/12,0.8229166666666666,82.3%
held_out,B2,R0,3,Adjudication Precision,11.0,12,11.0000/12,0.9166666666666666,91.7%
held_out,B2,R0,3,Mean Candidate Tokens,7526,12,7526/12,627.1666666666666,627.2
held_out,B2,R0,3,Mean Prompt Tokens,11835,12,11835/12,986.25,986.2
held_out,B2,R0,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B2,R0,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B2,R0,5,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B2,R0,5,Final Accepted Target Recall,10.625,12,85/96 (10*1.0 + 0 + 5/8)/12,0.8854166666666666,88.5%
held_out,B2,R0,5,Adjudication Precision,11.0,12,11.0000/12,0.9166666666666666,91.7%
held_out,B2,R0,5,Mean Candidate Tokens,12554,12,12554/12,1046.1666666666667,1046.2
held_out,B2,R0,5,Mean Prompt Tokens,16913,12,16913/12,1409.4166666666667,1409.4
held_out,B2,R0,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B2,R0,8,HN Presence Rate,11,12,11/12,0.9166666666666666,91.7%
held_out,B2,R0,8,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B2,R0,8,Final Accepted Target Recall,10.625,12,10.6250/12,0.8854166666666666,88.5%
held_out,B2,R0,8,Adjudication Precision,11.0,12,11.0000/12,0.9166666666666666,91.7%
held_out,B2,R0,8,Mean Candidate Tokens,18827,12,18827/12,1568.9166666666667,1568.9
held_out,B2,R0,8,Mean Prompt Tokens,23672,12,23672/12,1972.6666666666667,1972.7
held_out,B2,R1,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B2,R1,3,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B2,R1,3,Mean First Target Rank,16,12,16/12,1.3333333333333333,1.33
held_out,B2,R1,3,Final Accepted Target Recall,10.875,12,10.8750/12,0.90625,90.6%
held_out,B2,R1,3,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B2,R1,3,Mean Candidate Tokens,7535,12,7535/12,627.9166666666666,627.9
held_out,B2,R1,3,Mean Prompt Tokens,11821,12,11821/12,985.0833333333334,985.1
held_out,B2,R1,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B2,R1,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B2,R1,5,Mean First Target Rank,16,12,16/12,1.3333333333333333,1.33
held_out,B2,R1,5,Final Accepted Target Recall,11.625,12,31/32 (11*1.0 + 5/8)/12,0.96875,96.9%
held_out,B2,R1,5,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B2,R1,5,Mean Candidate Tokens,12556,12,12556/12,1046.3333333333333,1046.3
held_out,B2,R1,5,Mean Prompt Tokens,16894,12,16894/12,1407.8333333333333,1407.8
held_out,B2,R1,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B2,R1,8,HN Presence Rate,11,12,11/12,0.9166666666666666,91.7%
held_out,B2,R1,8,Mean First Target Rank,16,12,16/12,1.3333333333333333,1.33
held_out,B2,R1,8,Final Accepted Target Recall,11.625,12,11.6250/12,0.96875,96.9%
held_out,B2,R1,8,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B2,R1,8,Mean Candidate Tokens,18830,12,18830/12,1569.1666666666667,1569.2
held_out,B2,R1,8,Mean Prompt Tokens,23646,12,23646/12,1970.5,1970.5
held_out,B2,R2,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B2,R2,3,HN Presence Rate,8,12,8/12,0.6666666666666666,66.7%
held_out,B2,R2,3,Mean First Target Rank,12,12,12/12,1.0,1.00
held_out,B2,R2,3,Final Accepted Target Recall,10.375,12,10.3750/12,0.8645833333333334,86.5%
held_out,B2,R2,3,Adjudication Precision,11.0,12,11.0000/12,0.9166666666666666,91.7%
held_out,B2,R2,3,Mean Candidate Tokens,7516,12,7516/12,626.3333333333334,626.3
held_out,B2,R2,3,Mean Prompt Tokens,11819,12,11819/12,984.9166666666666,984.9
held_out,B2,R2,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B2,R2,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B2,R2,5,Mean First Target Rank,12,12,12/12,1.0,1.00
held_out,B2,R2,5,Final Accepted Target Recall,10.375,12,83/96 (10*1.0 + 0 + 3/8)/12,0.8645833333333334,86.5%
held_out,B2,R2,5,Adjudication Precision,11.0,12,11.0000/12,0.9166666666666666,91.7%
held_out,B2,R2,5,Mean Candidate Tokens,12511,12,12511/12,1042.5833333333333,1042.6
held_out,B2,R2,5,Mean Prompt Tokens,16892,12,16892/12,1407.6666666666667,1407.7
held_out,B2,R2,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B2,R2,8,HN Presence Rate,10,12,10/12,0.8333333333333334,83.3%
held_out,B2,R2,8,Mean First Target Rank,12,12,12/12,1.0,1.00
held_out,B2,R2,8,Final Accepted Target Recall,10.375,12,10.3750/12,0.8645833333333334,86.5%
held_out,B2,R2,8,Adjudication Precision,11.0,12,11.0000/12,0.9166666666666666,91.7%
held_out,B2,R2,8,Mean Candidate Tokens,18763,12,18763/12,1563.5833333333333,1563.6
held_out,B2,R2,8,Mean Prompt Tokens,23642,12,23642/12,1970.1666666666667,1970.2
held_out,B2,R3,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B2,R3,3,HN Presence Rate,8,12,8/12,0.6666666666666666,66.7%
held_out,B2,R3,3,Mean First Target Rank,16,12,16/12,1.3333333333333333,1.33
held_out,B2,R3,3,Final Accepted Target Recall,9.875,12,9.8750/12,0.8229166666666666,82.3%
held_out,B2,R3,3,Adjudication Precision,11.0,12,11.0000/12,0.9166666666666666,91.7%
held_out,B2,R3,3,Mean Candidate Tokens,7548,12,7548/12,629.0,629.0
held_out,B2,R3,3,Mean Prompt Tokens,11828,12,11828/12,985.6666666666666,985.7
held_out,B2,R3,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B2,R3,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B2,R3,5,Mean First Target Rank,16,12,16/12,1.3333333333333333,1.33
held_out,B2,R3,5,Final Accepted Target Recall,10.625,12,85/96 (10*1.0 + 0 + 5/8)/12,0.8854166666666666,88.5%
held_out,B2,R3,5,Adjudication Precision,11.0,12,11.0000/12,0.9166666666666666,91.7%
held_out,B2,R3,5,Mean Candidate Tokens,12561,12,12561/12,1046.75,1046.8
held_out,B2,R3,5,Mean Prompt Tokens,16904,12,16904/12,1408.6666666666667,1408.7
held_out,B2,R3,8,Recall@K,12,12,12/12,1.0,100.0%
held_out,B2,R3,8,HN Presence Rate,11,12,11/12,0.9166666666666666,91.7%
held_out,B2,R3,8,Mean First Target Rank,16,12,16/12,1.3333333333333333,1.33
held_out,B2,R3,8,Final Accepted Target Recall,10.625,12,10.6250/12,0.8854166666666666,88.5%
held_out,B2,R3,8,Adjudication Precision,11.0,12,11.0000/12,0.9166666666666666,91.7%
held_out,B2,R3,8,Mean Candidate Tokens,18837,12,18837/12,1569.75,1569.8
held_out,B2,R3,8,Mean Prompt Tokens,23660,12,23660/12,1971.6666666666667,1971.7
held_out,B3,R0,3,Recall@K,12,12,12/12,1.0,100.0%
held_out,B3,R0,3,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B3,R0,3,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B3,R0,3,Final Accepted Target Recall,10.875,12,10.8750/12,0.90625,90.6%
held_out,B3,R0,3,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B3,R0,3,Mean Candidate Tokens,11694,12,11694/12,974.5,974.5
held_out,B3,R0,3,Mean Prompt Tokens,15247,12,15247/12,1270.5833333333333,1270.6
held_out,B3,R0,5,Recall@K,12,12,12/12,1.0,100.0%
held_out,B3,R0,5,HN Presence Rate,9,12,9/12,0.75,75.0%
held_out,B3,R0,5,Mean First Target Rank,14,12,14/12,1.1666666666666667,1.17
held_out,B3,R0,5,Final Accepted Target Recall,11.625,12,31/32 (11*1.0 + 5/8)/12,0.96875,96.9%
held_out,B3,R0,5,Adjudication Precision,12.0,12,12.0000/12,1.0,100.0%
held_out,B3,R0,5,Mean Candidate Tokens,19537,12,19537/12,1628.0833333333333,1628.1
held_out,B3,R0,5,Mean Prompt Tokens,21789,12,21789/12,1815.75,1815.8
held_out,B3,R0,8,Recall@K,12,12,12/12,1.0,100.0%
